,index,vive_data,vlp_data,last_cmd,transformed_vive,vive_x,vive_y,vive_z,vive_yaw,vive_pitch,vive_roll,encoder_heading_change_step,encoder_heading_change,pks,L1,L2,L3,L4,L1_test,L2_test,L3_test,L4_test,vlp_x_hist,vlp_y_hist,vlp_x_hist_test,vlp_y_hist_test,x_hist,y_hist,heading_hist,vlp_heading_hist,vive_heading_change,vlp_heading_change,encoder_heading_change_err,vlp_heading_change_err,encoder_location_change_step,encoder_location_change,vive_location_change,vlp_location_change,encoder_location_change_err,vlp_location_change_err,encoder_heading_hist,encoder_x_hist,encoder_y_hist,heading_hist_rad,encoder_heading_hist_rad,encoder_heading_change_rad,encoder_heading_change_err_rad,vlp_heading_hist_rad,vlp_heading_change_rad
0,4,"[[-0.82087487 -0.56867754  0.05261355  0.406807  ]
 [-0.01221938 -0.07461756 -0.9971367  -0.8098587 ]
 [ 0.57097584 -0.81916744  0.05430369 -0.88032424]]","[[1112 2952  259 ... 3318  522 3200]
 [1185 2530  836 ...  634 3532  247]
 [   0 1868  820 ...  686 2998  502]]",MOVE:445.2000000000001,"[[-0.03069105  0.99722129 -0.06786008  0.1802574 ]
 [ 0.05766064  0.06954528  0.99591041  0.0049847 ]
 [ 0.99786351  0.02665276 -0.05963359  0.02721111]
 [ 0.          0.          0.          1.        ]]",0.18025739854105388,0.004984704753212221,0.027211109499941544,-91.76281624508601,-3.8910794276121465,-93.42673068876992,463.0,88.75507101,"[array([ 9.99508989,  6.83057736, 23.54950807, 68.78879801]), array([21.24372059,  6.95567375, 22.03105862, 69.80358288]), array([12.01371558,  7.63416251, 21.88871251, 72.71061639])]",14.417508690062212,7.140137873797339,22.489759733143966,70.43433242827176,9.995089894130938,6.8305773596282995,23.54950807327044,68.78879801372365,0.103275485,0.021956649,0.11907726,-0.028859619,0.11029052710485279,0.02505776293468341,88.23718375491399,,,,,,445,0.1117635663184478,,,,,88.23718375491399,0.11029052710485279,0.02505776293468341,1.5400293792105024,1.5400293792105024,1.549068216965869,,,
1,5,"[[-0.8229743  -0.565632    0.05265834  0.3394816 ]
 [-0.01531734 -0.07056735 -0.9973892  -0.8100691 ]
 [ 0.5678715  -0.8216325   0.04941127 -0.9682744 ]]","[[1182 3754  474 ... 2448 1004 1568]
 [ 955 2479 1249 ...  689 3418   89]
 [3625  278 2014 ... 2745 1281 2341]]",MOVE:445.2000000000001,"[[-0.02692437  0.99760019 -0.06378256  0.29069437]
 [ 0.06073452  0.06532025  0.99601414  0.00487485]
 [ 0.99779046  0.02294307 -0.06234736  0.03567584]
 [ 0.          0.          0.          1.        ]]",0.29069436767165796,0.004874854390248595,0.035675843898539505,-91.5459906876987,-3.6569617687482547,-93.58187408159426,0.0,0.0,"[array([21.90489544,  8.604325  , 31.74188633, 71.92724075]), array([ 5.40513809,  7.58941019, 34.74406182, 69.64753632]), array([21.78467274,  9.27391874, 29.01562398, 70.12254149])]",16.36490209224698,8.489217975470515,31.833857376569465,70.56577285580236,21.904895442891313,8.60432499709965,31.741886328248487,71.92724075194448,0.22944054,0.04083745,0.2076426,0.096889906,0.22071984830257096,0.033787289142841424,88.4540093123013,81.488754,0.2168255573873097,,0.2168255573873097,,445,0.1117635663184478,0.11077382185339515,0.12757,-0.00098974446505265,-0.01679618141770775,88.23718375491399,0.22200119961705522,0.02849584424400955,1.5438136990893827,1.5400293792105024,0.0,0.003784319878880468,1.422247,
2,6,"[[-0.8192748  -0.57145894  0.0471476   0.2709865 ]
 [-0.00616778 -0.07343718 -0.9972806  -0.8108761 ]
 [ 0.5733674  -0.8173378   0.05664073 -1.0577744 ]]","[[1492 1669  601 ... 3393  231 4047]
 [ 303 1651 3267 ... 1807 2295 1187]
 [2345  385 3330 ... 1611  693 1893]]",MOVE:445.2000000000001,"[[-0.03360679  0.99719754 -0.06683631  0.40307209]
 [ 0.05163203  0.068517    0.99631281  0.00535475]
 [ 0.99810026  0.03003196 -0.05378987  0.0442489 ]
 [ 0.          0.          0.          1.        ]]",0.4030720943320593,0.0053547469646360035,0.044248899541747044,-91.9302137595251,-3.8322955815389608,-93.09034608232075,0.0,0.0,"[array([ 9.18770622,  9.86456019, 40.33482701, 59.36617746]), array([24.0054392 , 10.1415426 , 48.12134233, 63.86641719]), array([ 6.68219614, 10.50799014, 40.50292031, 59.20751084])]",13.291780517335013,10.171364306785184,42.98636321735183,60.81336849595916,9.18770621576696,9.864560186646301,40.33482701012579,59.36617745874953,0.32337525,0.01967096,0.32756722,-0.016645215,0.33311181280285346,0.04189114460234825,88.0697862404749,102.69849,-0.3842230718263977,21.209732055664062,-0.3842230718263977,-21.59395512749046,445,0.1117635663184478,0.11268374398084818,0.09628993,0.0009201776624003788,0.016393811253034463,88.23718375491399,0.3337118721292577,0.03193392555333569,1.5371077414238854,1.5400293792105024,0.0,-0.0067059576654973025,1.7924267,0.37017965783712314
3,7,"[[-0.81333464 -0.57983863  0.04761169  0.2023689 ]
 [-0.0053615  -0.07436986 -0.99721366 -0.8134457 ]
 [ 0.5817667  -0.8113235   0.05738167 -1.1484648 ]]","[[1965   70 3692 ... 4013    0 2100]
 [   0 2522 1323 ... 2156 2198 1093]
 [2422 1901 1591 ...  611 1086 3059]]",MOVE:445.2000000000001,"[[-0.04389161  0.99673381 -0.06771086  0.51652552]
 [ 0.05087404  0.06991829  0.9962522   0.0075639 ]
 [ 0.99773737  0.04028293 -0.05377191  0.05219635]
 [ 0.          0.          0.          1.        ]]",0.5165255176103971,0.007563896502603029,0.0521963508972243,-92.52143385845011,-3.882520370203655,-93.08964436773662,0.0,0.0,"[array([15.70291607, 14.51992913, 55.24776535, 46.71055012]), array([ 5.43554108, 13.90883088, 57.78790678, 53.44903229]), array([ 4.42395108, 11.80055282, 56.29000544, 48.64680341])]",8.52080274280695,13.409770942323838,56.44189252210405,49.60212860510734,15.702916071126516,14.519929125697331,55.24776535015084,46.71055011750505,0.4716558,0.018297255,0.4415672,0.08532774,0.4465932892276739,0.049116832521464336,87.47856614154989,90.530785,-0.5912200989250209,-12.167701721191406,-0.5912200989250209,11.576481622266385,445,0.1117635663184478,0.11371128377369387,0.1482869,0.0019477174552460647,-0.03457561019011991,88.23718375491399,0.44542254464146014,0.035372006862661835,1.5267890040936776,1.5400293792105024,0.0,-0.010318737330208202,1.5800602,-0.21236645743537114
4,8,"[[-0.8187772  -0.572089    0.04812837  0.13528413]
 [-0.00834594 -0.0719602  -0.9973715  -0.8158523 ]
 [ 0.5740484  -0.8170269   0.05414535 -1.2398522 ]]","[[3900 1805 2052 ... 1332 2022 3552]
 [1891 2081  490 ... 1601  317 3877]
 [ 695 2064 2609 ... 3531  304 1822]]",MOVE:445.2000000000001,"[[-0.03443507  0.99727126 -0.06527933  0.62972596]
 [ 0.0538112   0.06707262  0.99629485  0.00953641]
 [ 0.99795587  0.03079583 -0.0559745   0.05848792]
 [ 0.          0.          0.          1.        ]]",0.6297259562108997,0.009536409098751086,0.05848791729533842,-91.97765741102563,-3.7428828764543907,-93.21561308996012,0.0,0.0,"[array([ 4.11855556, 19.68768651, 76.28869797, 44.89986648]), array([12.15952639, 14.00600093, 64.39420354, 34.28438566]), array([ 6.57137425, 14.24953559, 66.87096046, 35.95781389])]",7.616485400471902,15.981074345512662,69.18462065974863,38.38068867688531,4.118555564660948,19.687686512699198,76.28869797317114,44.89986648471003,0.58824193,0.03428738,0.5900735,0.052719407,0.5597676510001626,0.056072232704720525,88.02234258897437,82.19044,0.5437764474244773,-8.340347290039062,0.5437764474244773,8.88412373746354,445,0.1117635663184478,0.11338789068643701,0.117677584,0.001624324367989205,-0.004289693604067446,88.23718375491399,0.5571332171536626,0.03881008817198798,1.5362796934960326,1.5400293792105024,0.0,0.009490689402354969,1.4344938,-0.14556652097096812
5,10,"[[ 0.68050504 -0.7313424   0.04523634  0.04320827]
 [ 0.01044261 -0.05205129 -0.9985895  -0.8156434 ]
 [ 0.7326656   0.68001753 -0.02778439 -1.0558738 ]]","[[ 218 3789  246 ... 1625 2283 2218]
 [1473  546 4095 ... 3087  876 2301]
 [2113 2807 1030 ... 3579  371 3546]]",MOVE:445.2000000000001,"[[-0.98531431 -0.17066325  0.00497148  0.525757  ]
 [-0.01189149  0.09763865  0.99515061  0.01802838]
 [-0.17032128  0.98047723 -0.09823377  0.23581365]
 [ 0.          0.          0.          1.        ]]",0.525757002972858,0.01802838006732632,0.23581365224369788,170.17344739915004,0.2848275367604184,-95.63757687738538,-513.0,-97.3336702,"[array([11.48469056, 27.00083309, 74.95710944, 45.65580203]), array([15.6858263 , 24.09780529, 60.51967318, 39.80649112]), array([12.79084141, 22.36044148, 64.1013319 , 36.90784555])]",13.320452754977362,24.486359950835247,66.52603817441154,40.79004623185248,11.484690561476969,27.000833089257956,74.95710944387433,45.65580202784957,0.53705907,0.18742995,0.5467199,0.17961508,0.5377036333860309,0.16684062837370178,-9.826552600849936,-18.480509,-97.8488951898243,-100.67094421386719,-0.5152249898243042,2.822049024042883,445,0.1117635663184478,0.1129444923506972,0.1614693,0.0011809260322493964,-0.04852480327022107,-9.096486445086043,0.5394636749751954,0.1491680604051776,-0.17150569700524354,-0.1587636388297858,-1.6987930180402877,-0.008992372460988388,-0.32254574,-1.757039437623517
6,11,"[[ 0.6853327  -0.7271199   0.04018524 -0.03562084]
 [ 0.0083604  -0.04732255 -0.9988443  -0.81548023]
 [ 0.72818166  0.6848772  -0.02635257 -0.9771451 ]]","[[3421  352 4095 ... 1018 1596 2308]
 [2329 3067  407 ... 1317 1358 2011]
 [1933 1680  592 ...    0 4095 1094]]",MOVE:445.2000000000001,"[[-0.98417643 -0.17706953  0.00652834  0.50277264]
 [-0.0101126   0.09291522  0.99562232  0.02294808]
 [-0.17690069  0.9798024  -0.09323554  0.34471624]
 [ 0.          0.          0.          1.        ]]",0.5027726370023151,0.022948079664810273,0.3447162438288125,169.8006753329603,0.37404284120965914,-95.34989965206626,0.0,0.0,"[array([19.34774531, 32.35371961, 56.55441077, 40.83685965]), array([12.33787052, 33.40922534, 64.21970359, 43.33299116]), array([28.22486   , 29.261868  , 51.57822429, 34.87566109])]",19.970158607673856,31.67493765188591,57.45077954859036,39.68183729885121,19.347745309262162,32.353719612682234,56.55441076616668,40.836859650883206,0.5053006,0.2743312,0.5022813,0.27512774,0.5151677567887721,0.275822405167584,-10.199324667039718,-20.075073,-0.372772066189782,-1.594564437866211,-0.372772066189782,1.221792371676429,445,0.1117635663184478,0.11128743598070016,0.0925226,-0.0004761303377476406,0.0187648371776568,-9.096486445086043,0.5217941327967283,0.2595260326383672,-0.17801179691971747,-0.1587636388297858,0.0,-0.006506099914473929,-0.35037613,-0.027830399575977924
7,12,"[[ 0.673777   -0.7376055   0.04429289 -0.11613216]
 [ 0.01293022 -0.0481634  -0.99875575 -0.8142106 ]
 [ 0.73882115  0.6735115  -0.02291396 -0.8984637 ]]","[[1953    0 4095 ... 1655 1862 1961]
 [1623 1744 2032 ... 1650 1627 1527]
 [2722 1129  937 ...  724 1875 2746]]",MOVE:445.2000000000001,"[[-0.98681915 -0.16181891  0.00140525  0.4807385 ]
 [-0.01395963  0.09377539  0.99549548  0.02681908]
 [-0.16122161  0.9823544  -0.09479838  0.45505188]
 [ 0.          0.          0.          1.        ]]",0.48073849674536423,0.026819079959306324,0.45505187774009903,170.68750783455422,0.08051252662942168,-95.4397210134436,0.0,0.0,"[array([28.02744039, 37.9750727 , 43.26672854, 33.00881167]), array([26.88962699, 39.56389196, 46.70495461, 32.11703845]), array([31.13789193, 38.66130408, 44.18326767, 33.53042154])]",28.684986434527357,38.73342291296774,44.71831693901091,32.8854238869466,28.0274403897644,37.975072697310196,43.266728536556755,33.008811672670156,0.4753097,0.38957596,0.4731468,0.38397273,0.49206582540401195,0.3859744456406139,-9.312492165445747,-14.586904,0.8868325015939718,5.4881696701049805,0.8868325015939718,-4.601337168511009,445,0.1117635663184478,0.11254852844030519,0.11908318,0.0007849621218573855,-0.006534652583292527,-9.096486445086043,0.5041245906182611,0.3698840048715568,-0.1625336498532048,-0.1587636388297858,0.0,0.015478147066512668,-0.2545895,0.09578663065142291
8,13,"[[ 0.67126197 -0.7396839   0.04767749 -0.19510384]
 [ 0.01763987 -0.04836176 -0.99867344 -0.8109825 ]
 [ 0.7410085   0.67121345 -0.01941604 -0.81807864]]","[[4095  386 3051 ... 1008 2399 1549]
 [ 466 1801 4095 ... 1734    0 4095]
 [1616 1745 1862 ...  952  837 4095]]",MOVE:445.2000000000001,"[[-0.9873105  -0.15875791 -0.00337311  0.45642413]
 [-0.01851193  0.09397619  0.99540161  0.02873178]
 [-0.1577108   0.9828342  -0.09572371  0.56511487]
 [ 0.          0.          0.          1.        ]]",0.4564241337287855,0.028731780197488566,0.5651148686528797,170.86514145100233,-0.19326821325420354,-95.49298262632529,0.0,0.0,"[array([36.41379093, 51.04520484, 38.70853837, 29.45319112]), array([40.11406242, 51.3641724 , 26.77351746, 29.99061973]), array([31.73842316, 47.65000851, 35.89437122, 25.9408735 ])]",36.088758835725436,50.01979524794376,33.792142350674595,28.46156145086194,36.41379092960545,51.04520483562849,38.708538374305235,29.453191119144392,0.45771265,0.5047197,0.4625452,0.48122495,0.46753724811904945,0.49600265056845627,-9.13485854899767,-8.689101,0.17763361644807674,5.897802352905273,0.17763361644807674,-5.720168736457197,445,0.1117635663184478,0.11272913103216779,0.116480604,0.000965564713719988,-0.0037514727819572685,-9.096486445086043,0.4864550484397939,0.4802419771047464,-0.1594333583839611,-0.1587636388297858,0.0,0.003100291469243694,-0.15165342,0.10293606969006558
9,14,"[[ 0.676002   -0.73570967  0.04185984 -0.27579063]
 [ 0.01416714 -0.0438193  -0.99893874 -0.8097771 ]
 [ 0.7367634   0.6758777  -0.01919896 -0.7386853 ]]","[[4066 1662 2173 ... 1897 1612 4095]
 [3483  327 2157 ... 3353 1017 2817]
 [2748  596 2553 ... 3055  336 3014]]",MOVE:445.2000000000001,"[[-9.86316140e-01 -1.64863819e-01 -3.79971178e-04  4.33889406e-01]
 [-1.53337795e-02  8.94415268e-02  9.95873751e-01  3.26943418e-02]
 [-1.64149707e-01  9.82252326e-01 -9.07456764e-02  6.75982340e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]",0.4338894062072592,0.032694341792033677,0.6759823399331379,170.51067533203855,-0.021763755855815494,-95.20651747797638,0.0,0.0,"[array([38.34509729, 58.76276169, 22.05520903, 22.73848094]), array([29.88044135, 54.39250162, 31.08324668, 20.12341593]), array([52.77781625, 62.32390261, 25.69112322, 24.94615882])]",40.33445163096341,58.49305530652248,26.276526310787258,22.602685229588236,38.345097289773875,58.762761691400854,22.055209027676284,22.738480936704082,0.46840847,0.6036986,0.46314093,0.61740506,0.4454298749069224,0.6069401964105612,-9.489324667961455,6.1675367,-0.354466118963785,14.856637954711914,-0.354466118963785,-15.211104073675699,445,0.1117635663184478,0.11311885354709622,0.099555165,0.0013552872286484163,0.013563688971519439,-9.096486445086043,0.46878550626132676,0.590599949337936,-0.16561995924664505,-0.1587636388297858,0.0,-0.0061866008626839586,0.10764382,0.25929724808647914
