,index,vive_data,vlp_data,last_cmd,transformed_vive,vive_x,vive_y,vive_z,vive_yaw,vive_pitch,vive_roll,encoder_heading_change_step,encoder_heading_change,pks,L1,L2,L3,L4,L1_test,L2_test,L3_test,L4_test,vlp_x_hist,vlp_y_hist,vlp_x_hist_test,vlp_y_hist_test,x_hist,y_hist,heading_hist,vlp_heading_hist,vive_heading_change,vlp_heading_change,encoder_heading_change_err,vlp_heading_change_err,encoder_location_change_step,encoder_location_change,vive_location_change,vlp_location_change,encoder_location_change_err,vlp_location_change_err,encoder_heading_hist,encoder_x_hist,encoder_y_hist,heading_hist_rad,encoder_heading_hist_rad,encoder_heading_change_rad,encoder_heading_change_err_rad,vlp_heading_hist_rad,vlp_heading_change_rad
0,3,"[[ 0.5302519  -0.84727824  0.03086245  0.33540645]
 [ 0.00688741 -0.03209538 -0.999461   -0.824195  ]
 [ 0.84781206  0.5301787  -0.01118311 -0.62161046]]","[[3440  750 3155 ... 2618 1468 3249]
 [3088  224 3822 ... 3282  663 2642]
 [2951 1017 3228 ...  593 2678  933]]",MOVE:445.2000000000001,"[[-0.99988253  0.01063297  0.01103138  0.0045685 ]
 [ 0.01151578  0.04662668  0.99884592  0.00734625]
 [ 0.01010629  0.99885579 -0.0467437   0.21425128]
 [ 0.          0.          0.          1.        ]]",0.0045685048870608425,0.007346252111787743,0.21425128486886413,-179.39072843761363,0.6320660264612483,-92.67935463972573,,0.0,"[array([29.82433511,  6.56498171, 14.75710538, 71.03756842]), array([10.60289314,  5.88078214, 10.98023205, 72.70984242]), array([15.62143045,  7.14741451, 17.32304332, 70.42288965])]",18.682886233419694,6.531059452647381,14.3534602482142,71.39010016268551,29.824335109196205,6.5649817149897745,14.757105377600615,71.03756841789094,-0.0016145756,0.076258,-0.004284682,0.19950005,0.003824153279324935,0.14425524254728667,0.6092715623863683,,,,,,445,0.1117635663184478,,,,,0.6092715623863683,0.003824153279324935,0.14425524254728667,0.010633794802412166,0.010633794802412166,0.0,,,
1,4,"[[ 0.54091585 -0.84068936  0.02551088  0.24378283]
 [ 0.00855864 -0.02482793 -0.99965507 -0.8208106 ]
 [ 0.8410327   0.5409476  -0.00623462 -0.5590516 ]]","[[1291 3811  108 ...  805 3364 1350]
 [1450 3215  195 ...  286 3801  955]
 [ 591 3411  394 ...  269 2868 1040]]",MOVE:445.2000000000001,"[[-0.9999498  -0.0021197   0.00975105  0.00119187]
 [ 0.00965953  0.03959534  0.99916907  0.00565696]
 [-0.0025041   0.99921322 -0.03957287  0.32518235]
 [ 0.          0.          0.          1.        ]]",0.0011918661492091864,0.005656960495471375,0.32518234941541013,179.87854325738869,0.5587056291102274,-92.26805826787428,0.0,0.0,"[array([35.57869765,  8.08133165, 17.08135569, 64.14741305]), array([27.24386183,  8.13161038, 13.48767911, 62.7336978 ]), array([38.99237268, 10.71700873, 15.83729702, 64.39413984])]",33.93831072215809,8.976650254781829,15.468777271228134,63.75841689744348,35.57869765091147,8.081331649284675,17.081355692044454,64.14741305430408,0.022004101,0.27645326,0.029412184,0.27667648,0.0013402534420880437,0.25518250669264886,-0.1214567426113149,6.728551,-0.7307283049976832,,-0.7307283049976832,,445,0.1117635663184478,0.11095507058794736,0.20158368,-0.0008084957305004442,-0.09062861290280581,0.6092715623863683,0.005012601711831134,0.2560124899478081,-0.0021198200573147403,0.010633794802412166,0.0,-0.012753614859726906,0.117435366,
2,6,"[[ 0.1795681  -0.9831619   0.0338461   0.12255114]
 [ 0.01303546 -0.03202415 -0.9994017  -0.81603336]
 [ 0.9836583   0.17990191  0.00706614 -0.5670982 ]]","[[ 733 2616 1159 ... 3889   35 3708]
 [2400 1289 1903 ... 1787  744 3973]
 [2502 1717 2026 ...  246 1636 1711]]",MOVE:445.2000000000001,"[[-0.92543539  0.37885638 -0.00594696  0.07320823]
 [ 0.00943869  0.03873887  0.99920441  0.00100532]
 [ 0.37878564  0.92464304 -0.03942603  0.42304296]
 [ 0.          0.          0.          1.        ]]",0.07320822787364972,0.0010053207470471781,0.4230429590278183,-157.73668416826806,-0.3407265715424572,-92.25959363353722,111.0,22.04515389,"[array([41.98008678, 13.34530153, 17.58363169, 61.936854  ]), array([30.71186518, 13.25782693, 13.67116638, 61.30987946]), array([44.47937319, 12.73497521, 14.93961557, 60.41080728])]",39.05710838213005,13.112701221134678,15.398137880959682,61.21918024694687,41.98008677988106,13.345301525341599,17.583631688210602,61.93685399825489,0.05803164,0.33681837,0.08196499,0.35021672,0.046687768351171985,0.3582612854872511,22.263315831731944,30.829899,22.38477257434326,24.101348876953125,0.33961868434325737,-1.716576302609866,445,0.1117635663184478,0.11261275125942058,0.070298865,0.0008491849409727747,0.04231388582191295,22.65442545238637,0.048060810329324966,0.35915291117558285,0.3885681636751023,0.39539431429174804,0.3847605194893359,0.005927464243081157,0.53808326,0.42064789207466974
3,7,"[[ 0.17310748 -0.98426485  0.03541549  0.01246491]
 [ 0.00919492 -0.03433981 -0.99936676 -0.8118265 ]
 [ 0.9848579   0.17332304  0.00310623 -0.54770917]]","[[   0 1473 1414 ... 2165 1913  188]
 [   0 3868 1394 ... 1793  746  850]
 [1623  325 2669 ... 3065  512 2479]]",MOVE:445.2000000000001,"[[-0.92289423  0.38503369 -0.00345824  0.11612291]
 [ 0.01332276  0.04090336  0.99907313 -0.00246511]
 [ 0.38481763  0.92199423 -0.04288062  0.5262849 ]
 [ 0.          0.          0.          1.        ]]",0.11612290649258128,-0.002465111740741488,0.5262848998317183,-157.35399884016098,-0.19808614888914555,-92.4576275430196,0.0,0.0,"[array([48.21274687, 15.81421698, 16.43662335, 47.52608014]), array([47.30629528, 16.03360192, 13.41844587, 48.3102756 ]), array([56.18566944, 17.48818817, 16.57858336, 48.64185414])]",50.568237196972234,16.445335689327248,15.477884193237898,48.15940329377478,48.21274687030542,15.81421698306503,16.43662335017176,47.5260801368487,0.08323346,0.44072393,0.08712892,0.42058137,0.08917035722721182,0.4616818032488313,22.646001159839017,13.6335535,0.38268532810707256,-17.196346282958984,0.38268532810707256,17.579031611066057,445,0.1117635663184478,0.11180596518828477,0.10691818,4.239886983696539e-05,0.004887786689539805,22.65442545238637,0.09110901894681879,0.4622933324033576,0.3952472826496455,0.39539431429174804,0.0,0.006679118974543216,0.2379504,-0.30013286195072275
4,8,"[[ 0.16626224 -0.9856659   0.02860272 -0.09563341]
 [ 0.01181387 -0.02701356 -0.99956477 -0.8095368 ]
 [ 0.98601025  0.16652761  0.00715261 -0.5261648 ]]","[[1508 1973 1958 ... 1382  889 3600]
 [1234  943 3012 ... 2755 1745  317]
 [2749 1578  543 ...  467 3432 1046]]",MOVE:445.2000000000001,"[[-0.92022392  0.39137803 -0.00319137  0.15618618]
 [ 0.010749    0.03342431  0.99938295 -0.00397381]
 [ 0.3912433   0.91962195 -0.03496487  0.62898497]
 [ 0.          0.          0.          1.        ]]",0.1561861761206454,-0.003973814479932614,0.6289849739131987,-156.95961501976174,-0.18287288365646792,-92.00378344004879,0.0,0.0,"[array([66.21514636, 23.346492  ,  9.90003966, 38.5277232 ]), array([59.86830133, 22.11447231, 19.1710534 , 38.1336876 ]), array([67.23367134, 21.53312174, 15.3970329 , 37.61490022])]",64.43903967914373,22.33136201639569,14.822708654519927,38.09210367559806,66.21514636466414,23.346492004855932,9.900039659609794,38.52772320047407,0.13364717,0.5472494,0.086826846,0.59379464,0.12878958661888937,0.5645689286785504,23.040384980238258,25.32609,0.39438382039924136,11.692536354064941,0.39438382039924136,-11.2981525336657,445,0.1117635663184478,0.11025172976775062,0.11785251,-0.0015118365506971848,-0.0076007792540084135,22.65442545238637,0.13415722756431264,0.5654337536311325,0.40213057883220626,0.39539431429174804,0.0,0.00688329618256074,0.44202366,0.2040732572875667
5,9,"[[ 0.16262317 -0.9862453   0.029546   -0.20466964]
 [ 0.01067988 -0.02818349 -0.9995456  -0.80936116]
 [ 0.98662996  0.16286477  0.00594964 -0.5002651 ]]","[[ 817  846 4063 ... 3219  759  981]
 [1621 2232 3747 ... 2013    0 4095]
 [2046 4063  613 ...  994 2727 2593]]",MOVE:445.2000000000001,"[[-0.91876419  0.39479642 -0.00268688  0.19312535]
 [ 0.01190649  0.03451001  0.99933329 -0.00326509]
 [ 0.39462594  0.91811973 -0.0364072   0.73479008]
 [ 0.          0.          0.          1.        ]]",0.1931253498134306,-0.0032650892733580017,0.734790078956873,-156.74662962233378,-0.15394894331530967,-92.08645461058171,0.0,0.0,"[array([66.20843941, 26.82038849, 16.90559748, 25.83180705]), array([69.73970652, 29.79972735,  5.598765  , 27.57245988]), array([57.50006096, 26.52448869, 13.76167648, 24.76854783])]",64.4827356269448,27.71486817530884,12.088679653171958,26.05760492107119,66.20843940692278,26.820388494884977,16.905597484201703,25.831807045450915,0.1572658,0.64587027,0.20368859,0.60394365,0.1654894966141043,0.6704763197917822,23.253370377666215,13.468048,0.21298539742795697,-11.858041763305664,0.21298539742795697,12.071027160733621,445,0.1117635663184478,0.11208594419492547,0.10140966,0.0003223778764776669,0.010676285405290767,22.65442545238637,0.17720543618180645,0.6685741748589071,0.40584787527599275,0.39539431429174804,0.0,0.003717296443786511,0.23506178,-0.20696187160867796
6,11,"[[-0.7269069   0.684739   -0.05231899 -0.01295594]
 [ 0.00271079 -0.0733241  -0.99730426 -0.81700546]
 [-0.68672955 -0.7250894   0.0514436  -0.64546347]]","[[3452 1496 1877 ... 1116 2151 3587]
 [1568  840 4095 ... 3335    0 2523]
 [  51 1813 3168 ... 1867 2048    0]]",MOVE:445.2000000000001,"[[ 9.70013031e-01  2.43030384e-01  3.07089936e-03  2.12244211e-01]
 [-1.68500027e-02  5.46379096e-02  9.98363828e-01  4.98795766e-04]
 [ 2.42464959e-01 -9.68477899e-01  5.70941835e-02  4.94966312e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]",0.21224421084634953,0.0004987957662824227,0.49496631219505277,-14.065544532312908,0.1759569695128513,-86.72692992863605,741.0,141.44074419,"[array([46.45608272, 24.99471113, 12.03615988, 39.02226867]), array([64.30952319, 25.16697787, 17.63715059, 41.34339264]), array([59.72744446, 24.62474604, 18.21659526, 41.12054179])]",56.83101679210438,24.928811681152812,15.963301912065697,40.49540103396722,46.456082722577364,24.994711126990044,12.036159880193537,39.022268668152805,0.17519459,0.52601475,0.13077648,0.5236293,0.19523199015091014,0.5628675960342385,165.9344554676871,171.49239,142.68108509002087,158.0243377685547,1.2403409000208683,-15.343252678533815,445,0.1117635663184478,0.11164342054287968,0.12118906,-0.00012014577556812567,-0.00954563728411617,164.09516964238637,0.20783315719450796,0.5610891179356948,2.896102590415047,2.8640009968782882,2.46860668258654,0.021648032552513956,2.9931068,2.7580449923449084
7,12,"[[-0.72271466  0.6891362  -0.0526593   0.06279312]
 [ 0.0025756  -0.07350525 -0.99729073 -0.8184992 ]
 [-0.6911408  -0.7208934   0.05134889 -0.7307895 ]]","[[2784 1839 2428 ...  524 1215 4095]
 [1042 2179 1170 ... 1715 2531    0]
 [2872 2422 1704 ... 1602 1882 3031]]",MOVE:445.2000000000001,"[[ 9.71471603e-01  2.37130360e-01  3.33379170e-03  2.43314919e-01]
 [-1.68284744e-02  5.49055162e-02  9.98348969e-01 -1.91992997e-04]
 [ 2.36555301e-01 -9.69924523e-01  5.73300376e-02  3.85171892e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]",0.2433149187456058,-0.00019199299745142895,0.38517189244396377,-13.717307254225291,0.1910377241728922,-86.71339634440122,0.0,0.0,"[array([54.76318076, 22.78673176, 25.47722958, 53.39342553]), array([45.10172528, 21.30316958, 25.27032665, 50.58126353]), array([34.28650894, 21.09923194, 18.92067132, 48.89927278])]",44.71713832668352,21.729711092238677,23.222742514559155,50.95798728192579,54.76318076296532,22.786731755849342,25.477229578746652,53.39342553434806,0.20014443,0.40883353,0.19147816,0.4559559,0.22671570606590502,0.45317531984592685,166.2826927457747,167.98027,0.3482372780876233,-3.512115478515625,0.3482372780876233,3.8603527566032483,445,0.1117635663184478,0.11412107528054996,0.11980789,0.002357508962102156,-0.0056868162671299405,164.09516964238637,0.23846087820720946,0.45360406101248246,2.902180477495859,2.8640009968782882,0.0,0.006077887080812128,2.9318087,-0.06129797881035383
8,14,"[[ 8.4056532e-01 -5.4153234e-01  1.2901582e-02 -8.0732599e-02]
 [ 8.7296625e-04 -2.2463590e-02 -9.9974442e-01 -8.1399757e-01]
 [ 5.4168612e-01  8.4036672e-01 -1.8400740e-02 -5.2161562e-01]]","[[2529    0 3749 ... 2084 2148 1602]
 [ 636 1650 1765 ... 2387 1034  308]
 [3393 1447 1317 ...  600 3298 2286]]",MOVE:445.2000000000001,"[[-9.09168855e-01 -4.15536465e-01  2.67935963e-02  1.44406839e-01]
 [ 9.59335264e-03  4.34425191e-02  9.99007200e-01  5.53432872e-04]
 [-4.16286725e-01  9.08526447e-01 -3.55056452e-02  6.18817428e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]",0.1444068392214019,0.0005534328720548931,0.6188174275047646,155.43755396200302,1.5354681593049888,-92.03576426558405,880.0,167.78358078,"[array([50.41755231, 24.91138968, 12.78866239, 36.00643136]), array([66.38204321, 24.1079315 , 15.68818951, 37.85841286]), array([63.69227428, 25.6076831 , 13.89582757, 38.35789494])]",60.16395659987105,24.875668094064725,14.124226486735013,37.407579720821154,50.417552306158576,24.91138968243562,12.788662388578192,36.00643136344008,0.15372226,0.5511926,0.13626334,0.5405375,0.17350477192523517,0.5551518142401208,-24.562446037997006,-18.060741,169.15486121622828,173.958984375,1.3712804362282895,-4.804123158771716,445,0.1117635663184478,0.11502438402813459,0.14973682,0.0032608177096867808,-0.034712437623324155,-28.12124957761364,0.185782349761343,0.5521741751292679,-0.428695555706484,-0.4908083949044227,2.9283759153968756,0.023933358580367783,-0.3152194,3.0361570407691203
9,15,"[[ 0.84671277 -0.5318095   0.01599246 -0.13650896]
 [ 0.00181565 -0.02716978 -0.99962914 -0.8167531 ]
 [ 0.5320468   0.8464278  -0.02203944 -0.41375375]]","[[3287 1046  404 ... 1337 2911  938]
 [3025  309 1620 ... 2793 2125 1686]
 [1527 2698 2523 ... 1646   58 2930]]",MOVE:445.2000000000001,"[[-0.90438044 -0.42579442  0.02819045  0.08367157]
 [ 0.00841039  0.04826371  0.99879917  0.00596633]
 [-0.42664375  0.90353157 -0.04006772  0.72386364]
 [ 0.          0.          0.          1.        ]]",0.08367156595564407,0.005966333577954397,0.7238636385979117,154.78831779807302,1.6154101838348969,-92.29723908965433,0.0,0.0,"[array([70.88627622, 23.82453172, 15.26453541, 28.26924695]), array([66.78985448, 24.64183784,  8.30694532, 28.8059334 ]), array([63.29390686, 22.55662367,  6.67902382, 27.47877246])]",66.99001252122669,23.67433107369312,10.083501517683343,28.184650936732,70.88627622333688,23.824531717028588,15.264535407831477,28.269246950064144,0.09041567,0.6417517,0.15122676,0.6011508,0.1134890298916173,0.6605318231776434,-25.211682201926976,-34.955997,-0.6492361639299702,-16.89525604248047,-0.6492361639299702,16.2460198785505,445,0.1117635663184478,0.12127174269184926,0.110492885,0.009508176373401456,0.010778857579086809,-28.12124957761364,0.13310382131547654,0.6507442892460535,-0.4400268643900796,-0.4908083949044227,0.0,-0.011331308683595628,-0.6100972,-0.29487784590875116
