index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,x,y
0,15.0,23.89312182203287,39.40536155091147,191.2270922402164,68.62856617380127,15.0,86.62810271591513,282.9286686650778,64.75193433267468,35.857665145330024,15.0,3.6844934577052015,1.7330803673133373
1,15.0,25.834705875800783,40.26930407645728,215.16368782585133,53.17212598882742,15.0,65.93893682734472,314.40230405325434,67.59119208377078,35.1515990785005,15.0,3.6821224497862137,1.5186243844242766
2,15.0,19.699516428527804,43.62351665912946,234.4707980995576,43.79428243442531,15.0,53.995155185335186,331.8359631500935,69.89142986865407,28.650814706861812,15.0,3.680984153134371,1.2768307392520777
3,15.0,19.363725062849586,43.2207821804514,222.7169097553661,39.42306588913344,15.0,41.133685945925905,336.6086547707513,71.59738901156125,28.532249749811633,15.0,3.680257332211856,1.0344838771072562
4,15.0,17.633501100021654,40.05292358529517,208.30430767647616,28.00641197139644,15.0,33.8958495168118,314.55931735447837,69.77148381355113,24.90261493374458,15.0,3.679606708330413,0.7034885432583784
5,15.0,17.72761604739157,42.723355985997365,206.82540035976464,26.805611948329897,15.0,32.276863996378594,284.43406641759253,68.71750678660146,25.330653644537144,15.0,3.678877639758281,0.4624267404877586
6,15.0,15.108933899980824,41.2485645491312,220.92286920197017,31.79788981378876,15.0,32.275011653186695,323.9237561472878,77.39838873761812,26.062941989899784,15.0,3.6465040904737913,0.6420712093358365
7,15.0,15.0,40.159962151949294,215.9981556318036,30.603817291228445,15.0,38.63545140272954,341.809341421771,78.46449613908527,29.550591310716253,15.0,3.657715947271071,0.8498394212294607
8,15.0,17.086172215526595,38.69925349383164,236.01711179629612,36.825145602856615,15.0,47.16461006369098,341.80024642547835,76.82322240840469,31.218162422301717,15.0,3.6410894341979128,1.0585367705956046
9,15.0,21.268998401184824,39.999356127705546,242.65692463450367,45.041833096339424,15.0,54.105369524502706,334.4417462037261,75.1982267465798,31.538388990479422,15.0,3.642007824408495,1.267370572385273
10,15.0,18.57116036450559,37.25048696173896,236.9106690742579,57.14982477410883,15.0,69.96638427586906,312.1112583043703,72.4603256870604,38.81309590071521,15.0,3.6413355770858775,1.4786536949694598
11,15.0,21.469504542965748,38.80731866208453,213.2189920512485,66.77898439624418,15.0,87.82463808075167,286.3990111489,70.5248718956798,43.8390398357616,15.0,3.634617255122623,1.6900039533395064
12,15.0,23.28338001867405,39.936211656305225,187.92371702304055,76.98959221414073,15.0,105.14812593641383,257.3938699019817,66.69955960519493,41.866333352580384,15.0,3.6272871798585062,1.899450487695216
13,15.0,23.43690878958991,37.62966183419492,164.89634937174998,97.62367973585778,15.0,137.92418861089246,220.04424894141053,62.02269669298168,46.92096883599522,17.21964518785501,3.637562299595879,2.113072496501344
14,15.0,25.19806466262189,30.314036102353228,140.13289404793102,124.42328537435186,17.203522718642468,170.62369052615975,180.22741392813617,58.151866897692024,55.9206227587115,18.27666654714639,3.6420290881693456,2.323573657439276
15,15.0,30.455693724403123,27.170183538121677,84.28757971338686,180.7900770772104,21.10164430032503,239.0897790038099,113.0388496120276,47.472030850697784,62.73026222810322,20.1351812898059,3.6442874518170063,2.76788054797638
16,15.0,28.74566723061468,26.479015092204452,64.2030613318628,198.6295429351005,28.58676049153834,274.31425756711394,92.81310117005752,41.69703841214991,65.19180924737933,23.25752970401746,3.653714451558317,2.976747639651088
17,15.0,30.469840107023145,23.032607040505948,51.087046569842606,190.05767058879115,33.46554134833007,299.74977794300185,73.00473683456265,38.75010206947361,67.33724169845523,24.729143907716193,3.660041148398717,3.18761480563052
18,15.0,30.50464803523015,20.208012197531858,41.18112714362964,189.07971905821475,40.27802160260981,319.00866745834253,62.05573070380786,35.288406938208496,69.88651339754014,27.622376773244863,3.662053405612927,3.39847978508546
19,16.32113458018549,32.028810262916096,16.486282054471143,39.40344478222981,208.4905317020031,46.65000178869224,285.254280386695,43.6395214014184,28.265742807586907,61.48200071878646,31.95534057747397,3.6108237198452025,3.598444301818132
20,17.32531981038051,31.972639029390393,19.41460254145049,33.734430565620734,261.2714590850556,51.52512784366498,235.366590172678,40.29097788439681,24.83398535606049,51.16474356798571,30.48480015964012,3.46081220613079,3.743730183912016
21,21.803563480852265,43.40523642653181,18.299574547978413,28.796143822577573,313.71315772244856,56.66259159135306,196.85794281828777,30.71428568637864,24.651961915464355,45.50049314949483,29.51606280059637,3.3199552972338155,3.8946926450255734
