vive_data|last_cmd
[ -0.19179282  -1.06572516  -1.87224561 178.41690825  98.46154265 -88.52807787]|MOVE:1000
[ -0.30286481  -1.06885636  -1.89583969 177.50657226  95.57525007 -87.34470216]|MOVE:1000
[-0.30862763 -1.06890324 -1.91244754  0.62140986 -0.44042431 90.59735507]|TURN:-1280
[-0.32007931 -1.06991786 -1.81465261  1.02364709 -0.14618955 90.80424363]|MOVE:1000
[-0.32999797 -1.07184972 -1.71612718  0.43650258  0.37014743 90.82954503]|MOVE:1000
[-0.34139276 -1.07325317 -1.6171059   0.72257066  1.07610539 91.14168705]|MOVE:1000
[  -0.34483114   -1.06495917   -1.6376892   159.81108403  -95.05353461 -109.41508953]|TURN:-1280
[  -0.23270627   -1.05180434   -1.66824629  155.00584729  -95.71341518 -114.25568642]|MOVE:1000
[-1.23668144e-01 -1.03959175e+00 -1.69821591e+00  1.53909467e+02 -9.62218296e+01 -1.15624970e+02]|MOVE:1000
[-2.41561143e-02 -1.05086322e+00 -1.69743526e+00  1.55523245e+02 -9.58315925e+01 -1.12797791e+02]|MOVE:1000
[-2.74994159e-02 -1.06335117e+00 -1.68552703e+00  1.78627684e+02  1.69209367e+02 -9.09352673e+01]|TURN:-1280
[-4.70538940e-02 -1.06617631e+00 -1.79339156e+00  1.79016426e+02  1.68654679e+02 -9.04212621e+01]|MOVE:1000
[-6.77644543e-02 -1.06803932e+00 -1.90541885e+00  1.79077650e+02  1.68943583e+02 -8.98056279e+01]|MOVE:1000
[-8.87948319e-02 -1.06998265e+00 -2.01544731e+00  1.78764644e+02  1.69321675e+02 -9.05343071e+01]|MOVE:1000
[-0.09352151 -1.07715971 -2.02045281 -1.49310726 71.33231609 91.56446559]|TURN:-1280
[-0.2031775  -1.07316171 -2.00289941 -3.67268396 70.92314867 95.90801237]|MOVE:1000
[  -0.22534693   -1.06801928   -2.03014741  174.13480081 -100.52286501  -95.10941922]|TURN:2500
[-1.22326811e-01 -1.07019339e+00 -2.04869394e+00  1.73723065e+02 -9.88202822e+01 -9.53567576e+01]|MOVE:1000
[-1.01091851e-01 -1.07111304e+00 -2.05201292e+00  1.73331568e+02 -9.86566281e+01 -9.57719324e+01]|MOVE:200
[-8.00203159e-02 -1.07170719e+00 -2.05514202e+00  1.71154849e+02 -9.82237371e+01 -9.78534423e+01]|MOVE:200
[-7.70232238e-02 -1.06317228e+00 -2.06784363e+00  1.85321008e+01 -8.51865102e+01  1.11501400e+02]|TURN:200
[-5.46275232e-02 -1.04862525e+00 -2.07857401e+00  2.42179417e+01 -8.45322268e+01  1.17409901e+02]|MOVE:200
[-3.28393888e-02 -1.03919083e+00 -2.08499751e+00  2.38848037e+01 -8.41526589e+01  1.16859575e+02]|MOVE:200
[-3.38957798e-02 -1.04237117e+00 -2.08153608e+00  6.02512864e+00 -6.91087001e+01  9.76904919e+01]|TURN:200
[-1.92066332e-02 -1.05114735e+00 -2.06662576e+00  5.89747104e+00 -6.88040088e+01  9.78244323e+01]|MOVE:200
[-2.33599929e-03 -1.05746225e+00 -2.05345533e+00  5.17907067e+00 -6.85855200e+01  9.72157140e+01]|MOVE:200
[-2.95342279e-03 -1.06190214e+00 -2.05045516e+00  2.48250533e+00 -5.42798093e+01  9.42093496e+01]|TURN:200
[ 1.13137700e-02 -1.06567943e+00 -2.03511834e+00  2.48906043e+00 -5.38244532e+01  9.42564492e+01]|MOVE:200
[ 2.66009383e-02 -1.06929148e+00 -2.01984668e+00  1.98743441e+00 -5.36251132e+01  9.38616569e+01]|MOVE:200
[ 2.64549429e-02 -1.07202326e+00 -2.01771259e+00  9.07587167e-01 -3.95825349e+01  9.27739693e+01]|TURN:200
[ 3.68407495e-02 -1.07394273e+00 -2.00016632e+00  1.01251943e+00 -3.89123859e+01  9.29026087e+01]|MOVE:200
[ 4.77629356e-02 -1.07534739e+00 -1.98335242e+00  9.14997436e-01 -3.87667844e+01  9.28422079e+01]|MOVE:200
[ 4.83628411e-02 -1.07568411e+00 -1.98308843e+00  3.21972887e-01 -2.45194203e+01  9.20768570e+01]|TURN:200
[ 5.48325554e-02 -1.07665827e+00 -1.96381485e+00  1.70325575e-01 -2.38263698e+01  9.23440525e+01]|MOVE:200
[ 6.10470366e-02 -1.07731563e+00 -1.94511629e+00  1.06337481e-01 -2.36698528e+01  9.21339446e+01]|MOVE:200
[ 6.15032073e-02 -1.07855126e+00 -1.94353241e+00 -2.69632508e-01 -9.44637014e+00  9.14934600e+01]|TURN:200
[ 6.23304363e-02 -1.07970103e+00 -1.92312516e+00 -2.59371914e-01 -8.88911583e+00  9.16296489e+01]|MOVE:200
[ 6.27952941e-02 -1.08017251e+00 -1.90253754e+00 -1.72274394e-01 -8.77525314e+00  9.12495063e+01]|MOVE:200
[ 6.24552567e-02 -1.07989471e+00 -1.90165856e+00 -1.37601619e-01  5.37342475e+00  9.12447191e+01]|TURN:200
[ 5.79549175e-02 -1.07913803e+00 -1.88350549e+00 -1.52200146e-01  6.08226901e+00  9.12062594e+01]|MOVE:200
[ 5.31444196e-02 -1.07861488e+00 -1.86445131e+00 -1.89101940e-01  6.28692603e+00  9.11700715e+01]|MOVE:200
[ 5.29093448e-02 -1.07798594e+00 -1.86430966e+00 -3.33556259e-01  2.09819525e+01  9.10820352e+01]|TURN:200
[ 4.29194480e-02 -1.07740284e+00 -1.84728552e+00 -3.64131600e-01  2.17427730e+01  9.11978130e+01]|MOVE:200
[ 3.27352840e-02 -1.07687556e+00 -1.83012697e+00 -4.00563422e-01  2.22769843e+01  9.09996553e+01]|MOVE:200
[ 3.18120703e-02 -1.07670254e+00 -1.82941554e+00 -5.91003655e-01  3.68038972e+01  9.09752115e+01]|TURN:200
[ 1.72189238e-02 -1.07667289e+00 -1.81514955e+00 -6.08781196e-01  3.75505348e+01  9.10333171e+01]|MOVE:200
[ 1.58453822e-03 -1.07613703e+00 -1.80067595e+00 -4.49318782e-01  3.80448284e+01  9.08394994e+01]|MOVE:200
[-2.55631526e-04 -1.07621849e+00 -1.79987435e+00 -7.77418024e-01  5.26034148e+01  9.10178864e+01]|TURN:200
[-0.09705746 -1.07577581 -1.74807472 -0.6872557  54.57947114 90.60608152]|MOVE:1000
[-0.17557025 -1.07365432 -1.70965587 -0.72924216 56.15243326 90.33220802]|MOVE:800
[-0.24974474 -1.07074339 -1.67713534 -1.1089347  55.01160914 91.8027284 ]|MOVE:800
[-0.25234423 -1.07112354 -1.67620866 -1.37759865 68.2756602  93.25625769]|TURN:200
[-0.33887826 -1.07384629 -1.65557052 -1.67649831 78.76938272 91.99624648]|TURN:1500
[  -0.3460309    -1.06579845   -1.68965169  178.51895795 -176.49285145  -90.58640343]|MOVE:1000
[  -0.33296132   -1.06252645   -1.80524824  179.1480528  -175.22520862  -89.96345089]|MOVE:800
[  -0.32155232   -1.05921916   -1.90111215  179.35687775 -175.2133778  -89.25029523]|MOVE:800
[  -0.31377202   -1.06071162   -1.98226093  178.25688027 -170.72757532  -89.40883772]|TURN:200
[  -0.31245125   -1.0617413    -1.98974957  177.812246   -161.24291985  -90.03063988]|MOVE:800
[  -0.28598867   -1.06535951   -2.07202446  178.2034208  -160.19453717  -89.52651298]|MOVE:800
[  -0.25961358   -1.0677429    -2.14927826  177.98908309 -155.597695  -90.16585923]|TURN:200
[  -0.25685973   -1.06797746   -2.1560514   177.75847238 -145.81770496  -90.5211135 ]|MOVE:800
[  -0.20666      -1.06869304   -2.23173523  177.44748843 -144.08524898  -91.03034812]|MOVE:800
[-1.63449287e-01 -1.07120360e+00 -2.29627171e+00  1.76645486e+02 -1.39569685e+02 -9.19166106e+01]|TURN:200
[-1.59202214e-01 -1.07181560e+00 -2.30160291e+00  1.76087668e+02 -1.29969247e+02 -9.23927873e+01]|MOVE:800
[-9.57797892e-02 -1.07551844e+00 -2.35681963e+00  1.76197089e+02 -1.30478527e+02 -9.22208325e+01]|MOVE:800
[-3.63786295e-02 -1.07832718e+00 -2.40929711e+00  1.76406791e+02 -1.27239679e+02 -9.20905374e+01]|TURN:200
[-3.23580906e-02 -1.07871337e+00 -2.41282408e+00  1.75757055e+02 -1.17683962e+02 -9.27667536e+01]|MOVE:800
[ 4.56258677e-02 -1.07939312e+00 -2.45524142e+00  1.74748349e+02 -1.18548931e+02 -9.37665758e+01]|MOVE:800
[ 1.15912429e-01 -1.07846981e+00 -2.49684255e+00  1.76222991e+02 -1.16002342e+02 -9.18838164e+01]|TURN:200
[ 1.22098405e-01 -1.07801796e+00 -2.50002990e+00  1.75315965e+02 -1.06769746e+02 -9.29290549e+01]|MOVE:800
[   0.2010701    -1.07834541   -2.52532077  173.93027215 -108.96483295  -93.81904459]|MOVE:800
