vive_data|last_cmd
[ 4.78775654e-01  4.21795322e-01  9.91541846e-02  1.64533032e+01 -8.60126230e+01  1.08451592e+02]|TURN:255
[ 5.56928873e-01  4.82979025e-01  1.00018314e-01  1.37942715e+01 -8.50726461e+01  1.05660450e+02]|MOVE:900.186645080008
[ 6.35771104e-01  5.44754754e-01  1.01122730e-01  1.18300349e+01 -8.50378850e+01  1.03752347e+02]|MOVE:900.186645080008
[ 6.36365831e-01  5.44977145e-01  1.00975540e-01  1.38545249e+02 -9.13703305e+01 -1.29520397e+02]|TURN:-77
[ 7.07643929e-01  6.14503252e-01  1.03299085e-01  1.49899457e+02 -9.21823774e+01 -1.18320631e+02]|MOVE:900.186645080008
[ 7.79344304e-01  6.82290755e-01  1.07174141e-01  1.55864969e+02 -9.19573084e+01 -1.12457117e+02]|MOVE:900.186645080008
[ 8.51971754e-01  7.51191819e-01  1.10713399e-01  1.56195598e+02 -9.20110266e+01 -1.12165797e+02]|MOVE:900.186645080008
[ 9.23226681e-01  8.20910340e-01  1.13126364e-01  1.43425741e+02 -9.15394150e+01 -1.25115050e+02]|MOVE:900.186645080008
[ 9.96622086e-01  8.86929658e-01  1.18054068e-01  1.46486385e+02 -9.18620383e+01 -1.21882196e+02]|MOVE:900.186645080008
[ 1.00647920e+00  8.90124673e-01  1.17828263e-01  1.77802218e+02  1.20041203e+02 -8.93044544e+01]|TURN:-1743
[ 9.05489856e-01  8.73035723e-01  1.13094590e-01  1.77878421e+02  1.19536425e+02 -8.91283409e+01]|MOVE:900.186645080008
[ 9.02443761e-01  8.75176515e-01  1.10580013e-01  1.78191004e+02  1.29968611e+02 -8.95659256e+01]|TURN:123
[ 7.97759390e-01  8.79593269e-01  1.04878549e-01  1.78782652e+02  1.31056462e+02 -8.98996301e+01]|MOVE:900.186645080008
[ 6.95657560e-01  8.78139701e-01  1.04290654e-01  1.78653992e+02  1.30984631e+02 -8.99405953e+01]|MOVE:900.186645080008
[ 5.95781140e-01  8.73478885e-01  1.05418740e-01  1.78548574e+02  1.31310873e+02 -8.97102191e+01]|MOVE:900.186645080008
[ 5.95284942e-01  8.72341985e-01  1.05776175e-01  1.78550462e+02  1.36965550e+02 -8.98298712e+01]|TURN:71
[ 4.96174620e-01  8.78886090e-01  1.07252722e-01  1.78516058e+02  1.37487641e+02 -8.97421386e+01]|MOVE:900.186645080008
[ 3.94060163e-01  8.89344897e-01  1.06456465e-01  1.78859580e+02  1.37576178e+02 -9.00290410e+01]|MOVE:900.186645080008
[ 0.38666904  0.89907711  0.10514481 -0.31521544 31.44673218 90.39052931]|TURN:-1236
[ 0.40837524  0.80040212  0.10187521 -0.62165083 30.73959402 90.69804156]|MOVE:900.186645080008
[ 0.40913688  0.79979897  0.10170709 -0.61396014 39.43788793 90.44068502]|TURN:102
[ 0.41560003  0.69907272  0.09980278 -0.69184476 40.33758461 90.21023092]|MOVE:900.186645080008
[ 0.42298695  0.59578407  0.09875972 -0.96512707 40.35904271 90.38603193]|MOVE:900.186645080008
[ 0.42313491  0.5949207   0.09859529 -1.17117088 45.74547051 90.260667  ]|TURN:66
[ 0.42184156  0.49095899  0.09908313 -1.01520516 46.89006709 90.25288671]|MOVE:900.186645080008
[ 0.41989472  0.38688281  0.09953286 -0.9573375  46.86393228 90.09052375]|MOVE:900.186645080008
[ 0.41824092  0.28230545  0.10053888 -0.59843512 46.83820783 89.93268213]|MOVE:900.186645080008
[  0.41367554   0.27592505   0.10257728   0.77373154 -55.19932255  91.88237868]|TURN:-1189
[  0.5143359    0.28784786   0.10438862   0.39329609 -55.03873733  91.39243973]|MOVE:900.186645080008
[  0.61347154   0.30077742   0.10462526   0.21389796 -55.07186149  91.33229197]|MOVE:900.186645080008
[  0.70995662   0.31481048   0.10268461   0.17163036 -54.78467723  91.41958366]|MOVE:900.186645080008
[  0.71103326   0.31632374   0.10209042  -0.30567842 -46.61192301  90.79425394]|TURN:98
[  0.81309686   0.31205823   0.10216637   0.29505444 -45.40941182  91.62429442]|MOVE:900.186645080008
[  0.91534606   0.30727421   0.1022223    0.8023279  -45.84654912  92.50128074]|MOVE:900.186645080008
[  0.91599803   0.30629266   0.10213141   1.83269577 -57.79363777  93.74331698]|TURN:-138
[  1.01428898   0.32425889   0.10184928   1.72183171 -58.24489879  93.43209546]|MOVE:900.186645080008
[ 1.02064407e+00  3.17033530e-01  1.02550442e-01  1.77218787e+02 -1.48659087e+02 -9.13788322e+01]|TURN:-1051
[ 9.98003428e-01  4.15302651e-01  1.06320552e-01  1.77658186e+02 -1.49190125e+02 -9.06905972e+01]|MOVE:900.186645080008
[ 9.97554050e-01  4.15514996e-01  1.06943265e-01  1.77395059e+02 -1.40551661e+02 -9.07963611e+01]|TURN:104
[ 9.90212014e-01  5.17068287e-01  1.09010683e-01  1.77558449e+02 -1.39728210e+02 -9.09788301e+01]|MOVE:900.186645080008
[ 9.83841822e-01  6.17916330e-01  1.12440079e-01  1.77536210e+02 -1.39435696e+02 -9.07617149e+01]|MOVE:900.186645080008
[ 9.77665840e-01  7.19102414e-01  1.14936016e-01  1.77574787e+02 -1.39373995e+02 -9.06414776e+01]|MOVE:900.186645080008
[ 9.77359249e-01  7.19300708e-01  1.15309698e-01  1.77561229e+02 -1.34288591e+02 -9.07230891e+01]|TURN:66
[ 9.81620418e-01  8.18909875e-01  1.18047711e-01  1.77257797e+02 -1.33333790e+02 -9.07533480e+01]|MOVE:900.186645080008
[ 9.84761934e-01  9.21439141e-01  1.19257523e-01  1.77223380e+02 -1.33205795e+02 -9.09590455e+01]|MOVE:900.186645080008
[ 0.99218274  0.93376612  0.11744091  1.2594251  78.12374358 87.69979242]|TURN:-1744
[ 0.93586796  0.85253688  0.11478692  1.11496365 77.28055213 87.68578874]|MOVE:900.186645080008
[ 0.93620126  0.85075806  0.11495842  7.22630204 86.54527369 81.5302493 ]|TURN:109
[ 0.86804024  0.77856848  0.1139037  15.31653758 87.69923662 73.55538855]|MOVE:900.186645080008
[ 0.79765768  0.70841055  0.11119771 16.87148538 87.52831776 71.93207681]|MOVE:900.186645080008
[ 0.72939391  0.63603933  0.11062457 16.15069649 88.00507166 72.55081295]|MOVE:900.186645080008
[ 0.65764844  0.56709296  0.1073225  12.15993908 87.90222514 76.52669778]|MOVE:900.186645080008
[ 0.58486252  0.49926587  0.10316138  9.9728219  88.22184446 78.98119312]|MOVE:900.186645080008
[ 0.51296776  0.42998069  0.10011809  7.7859701  87.83329154 81.0725792 ]|MOVE:900.186645080008
[ 0.5114563   0.43008047  0.09970326  1.12090746 82.08291228 87.86262603]|TURN:-72
[ 0.44871176  0.35308281  0.09701595  0.28328665 81.39751254 88.34562908]|MOVE:900.186645080008
[ 4.41929344e-01  3.43799581e-01  9.92229066e-02  1.74390957e+02 -1.06824712e+02 -9.38613402e+01]|TURN:-2199
[ 4.88938943e-01  4.32202683e-01  9.95573591e-02  1.75121017e+02 -1.07230628e+02 -9.31605708e+01]|MOVE:900.186645080008
[ 4.88598404e-01  4.34722732e-01  9.93059045e-02  1.26710525e+01 -8.50671171e+01  1.04510891e+02]|TURN:260
[ 5.67248183e-01  4.94977515e-01  1.00353182e-01  1.11300806e+01 -8.44091789e+01  1.03043072e+02]|MOVE:900.186645080008
[  0.64647327   0.55566752   0.10149289   9.28811349 -84.32125457 101.03458796]|MOVE:900.186645080008
[ 6.46860120e-01  5.55641962e-01  1.01085316e-01  1.36663726e+02 -9.11854321e+01 -1.31465974e+02]|TURN:-85
[ 7.19276316e-01  6.24079057e-01  1.04000462e-01  1.47938687e+02 -9.18873188e+01 -1.20198972e+02]|MOVE:900.186645080008
[ 7.91966499e-01  6.91929169e-01  1.07730366e-01  1.50134848e+02 -9.15549190e+01 -1.18153676e+02]|MOVE:900.186645080008
[ 8.63710242e-01  7.60859541e-01  1.10537539e-01  1.45178209e+02 -9.15480349e+01 -1.23361711e+02]|MOVE:900.186645080008
[ 9.35811330e-01  8.29666823e-01  1.13409625e-01  1.39188179e+02 -9.13275823e+01 -1.29229530e+02]|MOVE:900.186645080008
[ 1.00979233e+00  8.94045573e-01  1.18813940e-01  1.41500717e+02 -9.14542626e+01 -1.27056326e+02]|MOVE:900.186645080008
[ 1.01645367  0.90606682  0.11615389 -0.41336842 54.11743631 89.25149001]|TURN:1683
[ 1.00019223  0.80472455  0.11557097 -0.13255157 54.61754262 89.08876888]|MOVE:900.186645080008
[ 0.98114923  0.70687285  0.11237291 -0.42673658 54.63736029 89.28380982]|MOVE:900.186645080008
[ 0.97934685  0.70821346  0.11142717 -0.55276326 42.93764776 89.55431381]|TURN:-141
[ 0.98282978  0.60653905  0.10946139 -0.5783762  42.19967614 89.48786812]|MOVE:900.186645080008
[ 0.98673232  0.50489946  0.10694384 -0.41107413 42.21026446 89.58853455]|MOVE:900.186645080008
[ 0.99018156  0.40247371  0.10413999 -0.51045019 42.08266875 90.08253278]|MOVE:900.186645080008
[ 0.99087453  0.4011782   0.10408408 -0.50117084 48.7812964  89.93790992]|TURN:86
[ 0.98251183  0.29997     0.10287432 -0.72830987 49.65884515 89.81810296]|MOVE:900.186645080008
[ 9.76663411e-01  2.88911511e-01  1.03093564e-01  1.76209487e+02 -1.20429137e+02 -9.20075866e+01]|TURN:2213
[ 1.00343122e+00  3.86058354e-01  1.04268555e-01  1.76626947e+02 -1.19719850e+02 -9.13589740e+01]|MOVE:900.186645080008
[ 1.00543780e+00  3.85909006e-01  1.04702093e-01  1.76953557e+02 -1.36935575e+02 -9.09542557e+01]|TURN:-201
[ 1.00302093e+00  4.86385347e-01  1.07694712e-01  1.77413871e+02 -1.37113184e+02 -9.12215496e+01]|MOVE:900.186645080008
[ 1.00079662e+00  5.88245826e-01  1.10299272e-01  1.77251867e+02 -1.37063684e+02 -9.08980682e+01]|MOVE:900.186645080008
[ 9.99700422e-01  6.86679755e-01  1.14894267e-01  1.77466890e+02 -1.36859879e+02 -9.08758630e+01]|MOVE:900.186645080008
[ 9.97875376e-01  7.88497288e-01  1.16914419e-01  1.77305261e+02 -1.36662786e+02 -9.06669621e+01]|MOVE:900.186645080008
[ 9.98910935e-01  7.88294384e-01  1.17355888e-01  1.77484459e+02 -1.45364126e+02 -9.03153113e+01]|TURN:-101
[ 9.80678837e-01  8.89370932e-01  1.18562874e-01  1.77572239e+02 -1.45667624e+02 -9.03300328e+01]|MOVE:900.186645080008
[ 9.86668125e-01  8.95155866e-01  1.18197186e-01  1.77510862e+02  1.26965502e+02 -8.87722624e+01]|TURN:-1020
[ 8.85254730e-01  8.86776639e-01  1.15416841e-01  1.77371822e+02  1.26036943e+02 -8.86121519e+01]|MOVE:900.186645080008
