vive_data|vlp_data|last_cmd
[array(None, dtype=object), array(None, dtype=object), array(None, dtype=object), array(None, dtype=object), array(None, dtype=object), array(None, dtype=object), array(None, dtype=object), array(None, dtype=object), array(None, dtype=object), array(None, dtype=object)]||CAL:1
[array([   1.10563266,   -0.90171093,   -0.69569898, -179.77333633,       -139.62579686,  -88.89476701]), array([   1.10557425,   -0.90163106,   -0.69576097, -179.76504465,       -139.62687894,  -88.88636206]), array([   1.10590184,   -0.90184557,   -0.69549626, -179.77560389,       -139.62924881,  -88.88271406]), array([   1.10544097,   -0.90158385,   -0.69595212, -179.76651523,       -139.63617471,  -88.88280907]), array([   1.10551882,   -0.90158218,   -0.69579405, -179.76426418,       -139.64936259,  -88.87846545]), array([   1.10573971,   -0.90170002,   -0.69564945, -179.77208681,       -139.6521981 ,  -88.89027059]), array([   1.10528123,   -0.9012785 ,   -0.69617343, -179.77569389,       -139.63833902,  -88.9045503 ]), array([   1.10568345,   -0.90173167,   -0.69563091, -179.77472089,       -139.63798786,  -88.90681951]), array([   1.10590553,   -0.90198368,   -0.69548833, -179.77994595,       -139.62925285,  -88.90550589]), array([   1.10592341,   -0.90192717,   -0.69533825, -179.78408923,       -139.63431798,  -88.91920079])]||CAL:2
[array([ -0.09921214,  -0.91654867,  -1.63503444,  -1.21712527,       -63.43767208,  88.98557686]), array([ -0.09921153,  -0.91654295,  -1.63505757,  -1.19833243,       -63.44186616,  89.00195126]), array([ -0.0991733 ,  -0.91671401,  -1.63546073,  -1.19274366,       -63.44398306,  89.02629923]), array([ -0.09922332,  -0.91710776,  -1.63573515,  -1.17554603,       -63.4440197 ,  89.01621008]), array([ -0.09920159,  -0.91696769,  -1.63568473,  -1.18612876,       -63.43890464,  89.00354368]), array([ -0.09921652,  -0.91728616,  -1.63604844,  -1.19933523,       -63.43117476,  88.99988495]), array([ -0.09924393,  -0.91701603,  -1.63571179,  -1.17236604,       -63.4303164 ,  89.01874204]), array([ -0.09925846,  -0.91720849,  -1.63596153,  -1.17476346,       -63.42798262,  89.01609759]), array([ -0.09923481,  -0.91738653,  -1.63628089,  -1.17250462,       -63.43622568,  89.02910812]), array([ -0.09929238,  -0.9171133 ,  -1.63593602,  -1.18684353,       -63.43584995,  89.00916983])]||CAL:3
[array([  -0.23441754,   -0.86000735,   -0.23904796,  174.43876235,       -177.75058362,  -90.46983271]), array([  -0.23426495,   -0.85988933,   -0.23907438,  174.45565621,       -177.83969777,  -90.49564475]), array([  -0.23418555,   -0.85987908,   -0.23905723,  174.48766317,       -177.83674401,  -90.49015289]), array([  -0.23435022,   -0.85994971,   -0.23908143,  174.37904292,       -177.75693074,  -90.44931613]), array([  -0.23426497,   -0.8598519 ,   -0.2390646 ,  174.40324039,       -177.85538265,  -90.4993993 ]), array([  -0.2343187 ,   -0.85994089,   -0.23912269,  174.45880874,       -177.83551436,  -90.49403942]), array([  -0.23424326,   -0.85987008,   -0.2391441 ,  174.44398905,       -177.84156098,  -90.4906271 ]), array([  -0.23433848,   -0.85993028,   -0.23914027,  174.40491456,       -177.8746121 ,  -90.51315524]), array([  -0.2343594 ,   -0.85992891,   -0.23909263,  174.40125267,       -177.87239284,  -90.50680923]), array([  -0.23420984,   -0.85990548,   -0.23916535,  174.43322839,       -177.86131358,  -90.51863262])]||CAL:4
[array([   0.48551631,   -0.83529967,   -0.78776169,  179.53947879,       -177.85810197,  -88.81050656]), array([   0.48552579,   -0.83526021,   -0.78767043,  179.54099134,       -177.83753837,  -88.80818149]), array([   0.48531318,   -0.83519858,   -0.78760451,  179.57230314,       -177.82951969,  -88.73566496]), array([   0.48548925,   -0.83518851,   -0.78762424,  179.56147705,       -177.8207463 ,  -88.72772316]), array([   0.48542514,   -0.83518523,   -0.78760374,  179.54908844,       -177.82615259,  -88.74949724]), array([   0.48542786,   -0.8351655 ,   -0.7875303 ,  179.56366733,       -177.79910816,  -88.73661075]), array([   0.4853909 ,   -0.83507389,   -0.78746986,  179.5755694 ,       -177.7972693 ,  -88.69437567]), array([   0.48543772,   -0.83513248,   -0.78756708,  179.5580605 ,       -177.82154629,  -88.75207168]), array([   0.48544407,   -0.83501524,   -0.78751034,  179.56967581,       -177.806562  ,  -88.75496892]), array([   0.48538923,   -0.83497649,   -0.78746313,  179.58692444,       -177.80580263,  -88.70789282])]||CAL:5
[array([-6.86559454e-02, -8.47054720e-01, -1.48461294e+00, -1.79476207e+02,       -1.77594586e+02, -8.73395420e+01]), array([-6.88828677e-02, -8.47126901e-01, -1.48457527e+00, -1.79485880e+02,       -1.77574639e+02, -8.73356626e+01]), array([-6.88237548e-02, -8.47083509e-01, -1.48462081e+00, -1.79510291e+02,       -1.77564228e+02, -8.73722231e+01]), array([-6.86842054e-02, -8.46991360e-01, -1.48466849e+00, -1.79449708e+02,       -1.77508083e+02, -8.73893182e+01]), array([-6.88054562e-02, -8.47095311e-01, -1.48461175e+00, -1.79520379e+02,       -1.77511564e+02, -8.73490869e+01]), array([-6.88190684e-02, -8.47021520e-01, -1.48447144e+00, -1.79544401e+02,       -1.77522930e+02, -8.73669376e+01]), array([-6.88067749e-02, -8.47002268e-01, -1.48458862e+00, -1.79458775e+02,       -1.77516542e+02, -8.73716018e+01]), array([-6.87764138e-02, -8.47139835e-01, -1.48458099e+00, -1.79523847e+02,       -1.77547849e+02, -8.73414254e+01]), array([-6.87389374e-02, -8.47018123e-01, -1.48449874e+00, -1.79537487e+02,       -1.77523492e+02, -8.73603135e+01]), array([-6.87996298e-02, -8.46962810e-01, -1.48458362e+00, -1.79472926e+02,       -1.77455867e+02, -8.73772614e+01])]||CAL:5
