,vlp_x,vlp_y,vlp_heading,vlp_heading_change,encoder_heading_change,encoder_heading,encoder_x,encoder_y,rnn_x,rnn_y,rnn_heading,ekf_x,ekf_y,ekf_heading,real_x,real_y,real_heading
39,0.46518364548683167,0.5544429421424866,-14.141942977905273,-76.21786499023438,-48.69490572868182,5.446197413126924,0.5019135758006507,0.5172475269447777,0.47334966,0.5414576,-4.4620256,0.5047305226931761,0.5142782950251714,18.032059044041723,0.4771540052680823,0.5177717699256459,-2.7180811517652046
40,0.3941052556037903,0.5623753070831299,-83.63212585449219,-69.49017333984375,-55.91041810007124,-50.464220686944316,0.4157248554681637,0.5883864674130204,0.38537183,0.59435815,-57.389256,0.4348164182441481,0.5958334854544152,-39.35724347852418,0.383353421936118,0.572443803554661,-59.06749890291337
41,0.25064048171043396,0.5241485238075256,-104.9200439453125,-21.28790283203125,-48.59653290952906,-99.06075359647338,0.30536406014814865,0.5707870577686721,0.27654552,0.5550669,-105.52484,0.32113589411062265,0.5928864732863867,-88.92841021077321,0.2793501750994988,0.5336621388725536,-108.59082980977587
42,0.18908573687076569,0.44539788365364075,-141.9873504638672,-37.06732177734375,-43.179142040905276,-142.23989563737865,0.23692995951806423,0.4824353841317381,0.218667,0.45826837,-150.48976,0.23448163697558086,0.5138874600216232,-131.8760738214009,0.2236565997097105,0.43438642469728367,-151.8776080226554
43,0.24174103140830994,0.27175456285476685,163.1306915283203,-54.8819580078125,-39.67985930287904,178.0802450597423,0.2406737365836064,0.370742821725912,0.23039898,0.3447065,173.91747,0.21993330818375356,0.3956188042657519,-171.62816383694565,0.2495516392522637,0.3254442256671381,167.8861738902714
44,0.3214053809642792,0.22680515050888062,119.4332046508789,-43.697479248046875,-36.822917767875026,141.25732729186728,0.31061284781595244,0.2835776619226663,0.30187127,0.2633889,140.5548,0.2755736179125501,0.2923385304414982,151.92480762079552,0.3357449888517683,0.25588834183729176,130.47740796974568
45,0.4588623642921448,0.2181137055158615,93.6180191040039,-25.815185546875,-34.58218577144737,106.67514152041991,0.41766849944552165,0.25151004870209515,0.41911635,0.24914461,102.79875,0.38005825859639714,0.2391882890386143,117.51556555233886,0.4466235196573173,0.2473221808219449,96.12328698102162
46,0.5883644223213196,0.2564893364906311,73.49374389648438,-20.124267578125,-32.71083964161778,73.96430187880213,0.5250753637469586,0.2823809065526396,0.53730524,0.28199032,70.099815,0.49874533309761143,0.24787649068967968,85.64104356040075,0.5476088270764109,0.2978949606400638,63.34762542647475
47,0.7246795892715454,0.3390129506587982,58.80976867675781,-14.6839599609375,-31.14247644654057,42.82182543226156,0.6010377519903448,0.36435016869313286,0.628598,0.37120554,43.270573,0.6052569157232669,0.3120731607405133,57.00642223789589,0.6055556621411312,0.39542411609032074,31.724594725847453
48,0.6684227585792542,0.5051311254501343,-18.708951950073242,-77.51873779296875,-29.79792595002732,13.023899482234242,0.6262226407571101,0.4732306799947496,0.6485709,0.49294454,10.279894,0.6581027791472148,0.41708241524956235,27.50579456851357,0.6043711197363616,0.5084445512676996,2.7291212107412264
49,0.62745201587677,0.608959972858429,-21.534133911132812,-2.8251953125,-28.441117095747074,-15.417217613512832,0.5965129646112022,0.5809645164009646,0.6092931,0.60055494,-18.665756,0.6556894100454758,0.5343776203132584,-0.5526222547771905,0.5525824442484308,0.6071782764596285,-25.74532990178102
50,0.4591011703014374,0.6954057216644287,-62.820152282714844,-41.2860107421875,-27.68614873180212,-43.10336634531495,0.5201487132005008,0.6625595252555447,0.5218365,0.6777688,-45.751427,0.5930747699507528,0.6337599192007797,-28.914039906071277,0.4638341269649602,0.6706138974523399,-53.52580293280653
51,0.37611931562423706,0.6958965063095093,-89.6611328125,-26.840972900390625,-26.344314878840123,-69.44768122415508,0.4155064245431334,0.7017926208260452,0.41083586,0.6981767,-72.7671,0.4936943733014216,0.6945571676351959,-55.853319194435,0.35436565408909404,0.6858716098686274,-80.10565457778796
52,0.24228832125663757,0.6307902336120605,-115.94205474853516,-26.280914306640625,-25.759057742987522,-95.2067389671426,0.30421226898103604,0.6916508605638667,0.29160208,0.67031467,-99.67652,0.3764036145469491,0.7014189208178047,-82.63630363679384,0.24682474869880727,0.6528690366157247,-105.43435353637125
53,0.12797288596630096,0.5311587452888489,-131.07374572753906,-15.131683349609375,-24.743689892715224,-119.95042885985782,0.207381042722205,0.6358569721467031,0.19883676,0.60311043,-125.71707,0.2616655011960374,0.6581760256737172,-107.52930558918773,0.16081235267289318,0.5768494459100755,-131.19667473811725
54,0.04971947893500328,0.4342985153198242,-141.06524658203125,-9.99151611328125,-24.17844066128623,-144.12886952114405,0.14189645291419453,0.5452975283477682,0.14396045,0.50512785,-150.51826,0.16408143886712231,0.5752454049009287,-130.13832710240086,0.11614119044484134,0.47378473370838553,-155.2929941025746
55,0.0663657858967781,0.3150593042373657,172.05262756347656,-46.88214111328125,-23.5959044508827,-167.72477397202675,0.11813639538041396,0.4360972351728538,0.13013873,0.39144322,-171.03542,0.10605719919548132,0.4632410340268384,-152.3490806158633,0.11415373362778122,0.36281842720722385,-178.01177414044275
56,0.10536257177591324,0.24129877984523773,152.1348419189453,-19.91778564453125,-22.850359316560798,169.42486671141245,0.13864625479824644,0.3262401005381084,0.15152413,0.28321138,165.23415,0.09367500679969017,0.342016729637815,-174.17376039553346,0.1578481654112251,0.25909369708066904,158.62760212305903
57,0.23085631430149078,0.12859651446342468,131.92608642578125,-20.208740234375,-22.436791732066126,146.98807497934632,0.19953205286219242,0.23252689998657342,0.22452419,0.19424203,142.6855,0.1322843649103682,0.22711738424027336,163.60798774361658,0.23696957799787366,0.18287923310508186,135.51725730194445
58,0.3385489284992218,0.04526257887482643,127.73316192626953,-4.19293212890625,-21.78244624917312,125.2056287301732,0.29084598720424043,0.16809856958393166,0.32884908,0.13950379,119.957054,0.20953229314512264,0.12836401797839675,142.90066500391598,0.34084987874845785,0.14332597867908653,112.90935643248044
59,0.4388616383075714,0.12392240762710571,51.89836120605469,-75.83480834960938,-21.20918181385872,103.99644691631448,0.39928334177681324,0.14106924297748535,0.4502351,0.14307666,95.85859,0.31272796528722474,0.08180273388930531,120.02128949065337,0.4521821591218859,0.14258117175934987,91.32690390202565
