vive_data|vlp_data|last_cmd
[array(([[-0.53757787,  0.8430633 , -0.01594676, -0.23466893], [ 0.00617403, -0.01497592, -0.9998688 , -0.793678  ], [-0.8431915 , -0.5376058 ,  0.00284561, -0.2559961 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5376477 ,  0.8430188 , -0.01594667, -0.23467192], [ 0.00629558, -0.01489859, -0.9998692 , -0.79377115], [-0.8431461 , -0.53767776,  0.00270289, -0.25603068]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5377056 ,  0.8429852 , -0.0157708 , -0.2347085 ], [ 0.00639858, -0.01462452, -0.99987257, -0.7938558 ], [-0.8431084 , -0.53773797,  0.00246976, -0.2560602 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5378104 ,  0.84291816, -0.01578046, -0.23474488], [ 0.00631791, -0.01468781, -0.99987215, -0.79375356], [-0.8430422 , -0.5378413 ,  0.00257376, -0.25596473]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.53765106,  0.84301245, -0.01616732, -0.23464313], [ 0.00659319, -0.01497051, -0.9998662 , -0.7937337 ], [-0.8431417 , -0.5376857 ,  0.00249075, -0.25598285]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.53767806,  0.84299815, -0.01601565, -0.23467767], [ 0.00650291, -0.01484829, -0.99986863, -0.79373866], [-0.84312516, -0.53771156,  0.00250165, -0.25606087]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.53761923,  0.84303975, -0.01579655, -0.23470488], [ 0.00619656, -0.01478357, -0.99987155, -0.79385275], [-0.843165  , -0.537648  ,  0.00272398, -0.25596994]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5379812 ,  0.8428053 , -0.01598347, -0.2347023 ], [ 0.0064058 , -0.01487317, -0.99986887, -0.7938773 ], [-0.8429325 , -0.53801304,  0.00260263, -0.25597218]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.53772795,  0.842972  , -0.01571305, -0.23465747], [ 0.00614266, -0.01471933, -0.9998728 , -0.79374933], [-0.8430961 , -0.537756  ,  0.00273689, -0.25595528]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.537767  ,  0.84295285, -0.015403  , -0.2346898 ], [ 0.0060284 , -0.01442459, -0.9998778 , -0.7938341 ], [-0.843072  , -0.5377941 ,  0.0026754 , -0.2560512 ]],),      dtype=[('m', '<f4', (3, 4))])]||CAL:1
[array(([[-0.53999794,  0.8414384 , -0.01958614,  0.5234687 ], [ 0.01655885, -0.01264519, -0.9997829 , -0.82197046], [-0.84150344, -0.54020506, -0.00710489, -0.7331882 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.53998065,  0.8414536 , -0.01940827,  0.52351934], [ 0.01642489, -0.01252002, -0.99978673, -0.8219454 ], [-0.84151715, -0.54018426, -0.00706024, -0.733241  ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5400093 ,  0.8414423 , -0.01910111,  0.52354556], [ 0.01613405, -0.01234148, -0.9997937 , -0.8219891 ], [-0.8415044 , -0.5402061 , -0.00691137, -0.7332044 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5400005 ,  0.8414446 , -0.01924614,  0.5234808 ], [ 0.01603213, -0.01257931, -0.99979234, -0.821921  ], [-0.841512  , -0.5401969 , -0.00669733, -0.73313916]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5399374 ,  0.84148574, -0.01922162,  0.5234528 ], [ 0.01608758, -0.01251519, -0.9997923 , -0.8219821 ], [-0.8415515 , -0.54013443, -0.00678007, -0.73319787]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5402401 ,  0.8412946 , -0.01908033,  0.52350366], [ 0.0161252 , -0.01232021, -0.99979407, -0.8219335 ], [-0.8413564 , -0.54043657, -0.00691019, -0.7332016 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.54015213,  0.84135145, -0.01906483,  0.52352715], [ 0.01599289, -0.01238762, -0.9997954 , -0.82188445], [-0.84141546, -0.5403465 , -0.00676446, -0.7331965 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5400079 ,  0.8414369 , -0.01937676,  0.5234879 ], [ 0.0165183 , -0.01242234, -0.9997864 , -0.82193506], [-0.8414979 , -0.5402126 , -0.00719097, -0.7331774 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5400332 ,  0.84142447, -0.01920871,  0.52343607], [ 0.01632568, -0.01234607, -0.9997905 , -0.821945  ], [-0.8414854 , -0.5402337 , -0.00706956, -0.7332128 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5400373 ,  0.8414209 , -0.01925198,  0.5233977 ], [ 0.016228  , -0.01246015, -0.99979067, -0.82201034], [-0.84148467, -0.54023665, -0.00692564, -0.73324764]],),      dtype=[('m', '<f4', (3, 4))])]||CAL:2
[array(([[-0.5424615 ,  0.839622  , -0.0277558 ,  0.04748111], [ 0.03275087, -0.01187781, -0.999393  , -0.82162756], [-0.839442  , -0.5430412 , -0.02105511, -1.500389  ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5423691 ,  0.8396949 , -0.02735307,  0.04749648], [ 0.03217806, -0.01177169, -0.99941283, -0.8214188 ], [-0.83952385, -0.54293084, -0.02063516, -1.5003177 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5430749 ,  0.83919966, -0.02852499,  0.04748936], [ 0.03227071, -0.01308661, -0.9993935 , -0.8216252 ], [-0.83906394, -0.543666  , -0.01997458, -1.5004615 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.54247314,  0.8396047 , -0.02805178,  0.04746176], [ 0.03239588, -0.01245943, -0.99939746, -0.8216317 ], [-0.8394483 , -0.54305506, -0.02044084, -1.5002602 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5428089 ,  0.8393974 , -0.0277606 ,  0.04738553], [ 0.03119721, -0.01287909, -0.9994303 , -0.8216764 ], [-0.8392767 , -0.54336566, -0.01919598, -1.5002997 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5429714 ,  0.8392731 , -0.028334  ,  0.04746727], [ 0.03175288, -0.01319754, -0.9994086 , -0.82166773], [-0.83915067, -0.54354995, -0.01948347, -1.5004566 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.54242593,  0.83964   , -0.0279069 ,  0.04745009], [ 0.03213649, -0.01245613, -0.99940586, -0.8218951 ], [-0.83948874, -0.54300046, -0.02022657, -1.5004107 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.5426802 ,  0.83945507, -0.02852048,  0.04753069], [ 0.0317708 , -0.01341601, -0.99940515, -0.82168144], [-0.83933836, -0.54326344, -0.01938957, -1.5003254 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.54272646,  0.83944887, -0.02781424,  0.04744453], [ 0.03136569, -0.01283614, -0.99942553, -0.821671  ], [-0.8393237 , -0.54328704, -0.0193634 , -1.5002042 ]],),      dtype=[('m', '<f4', (3, 4))]), array(([[-0.54294544,  0.8392965 , -0.02813625,  0.04740504], [ 0.03119025, -0.01332719, -0.99942464, -0.8215605 ], [-0.8391886 , -0.5435106 , -0.01894195, -1.5002172 ]],),      dtype=[('m', '<f4', (3, 4))])]||CAL:3
