vive_data|vlp_data|last_cmd
[ -0.939517    -1.3031101   -1.26372036   0.23665619 -55.78959848  88.22590643]||CAL:1
[ -0.30773     -1.29901438  -0.51487181   1.59652169 -46.00033393  89.72746548]||CAL:2
[  0.59759699  -1.28170007  -1.27830931   2.15466821 -64.80733502  90.91545269]||CAL:3
[ -0.79249982  -1.2404243   -1.34481523   1.93928597 -49.39981963  91.46885526]||CAL:4
[ -0.2115963   -1.22757189  -0.66001697   2.06249489 -50.17428844  91.83526687]||CAL:5
[  0.55746828  -1.21545144  -1.30908523   2.90361781 -50.24030325  92.77132985]||CAL:6
