,vlp_x,vlp_y,vlp_heading,vlp_heading_change,encoder_heading_change,encoder_heading,encoder_x,encoder_y,rnn_x,rnn_y,rnn_heading,ekf_x,ekf_y,ekf_heading,real_x,real_y,real_heading
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.017042523249983788,0.04402979463338852,-21.159826278686523,-21.159820556640625,38.131913675601716,38.131913675601716,0.0690059959221947,0.08790572728941999,,,,0.007291952766061684,0.05330203864439957,29.216364841289167,0.06967513101257411,0.08471388264701848,39.06715583227887
2,0.06615439057350159,0.053139250725507736,83.75141143798828,104.91123962402344,0,38.131913675601716,0.1380119918443894,0.17581145457883998,,,,0.06731282057312467,0.11672596550652739,34.013432035435095,0.13972090464921155,0.16886672842001163,39.236738900501564
3,0.20842495560646057,0.1581590473651886,53.56638717651367,-30.185028076171875,0,38.131913675601716,0.2070179877665841,0.26371718186826,,,,0.15702307158802484,0.20144923681720078,37.475075872396,0.21086402041800797,0.2554633601057544,39.94256692483313
4,0.22694812715053558,0.3388977348804474,5.851580619812012,-47.714813232421875,0,38.131913675601716,0.2760239836887788,0.35162290915767996,,,,0.22686608218800788,0.3031403013103898,38.16907344195557,0.2794065639685307,0.34541556581405375,40.919521223888154
5,0.31796130537986755,0.4153192937374115,49.980628967285156,44.12904739379883,0,38.131913675601716,0.3450299796109735,0.43952863644709994,,,,0.30294197672560524,0.39953816817814974,39.31740114380234,0.3501304772653199,0.43095055265991544,40.87639575125627
6,0.29949432611465454,0.5589606165885925,-7.325939178466797,-57.30657958984375,-36.47171292903374,1.6602007465679733,0.34826774427854623,0.5512370123347353,,,,0.3095393364604084,0.5235886237681835,3.8984455120851256,0.35331058673498866,0.5446119135803194,4.411045996184157
7,0.31859850883483887,0.6761212348937988,9.261130332946777,16.58707046508789,0,1.6602007465679733,0.351505508946119,0.6629453882223707,,,,0.31961422678361506,0.6469554147798542,5.028259027635284,0.3594701268612457,0.6556153981976774,4.345175028129233
8,0.4310851991176605,0.6342040300369263,110.4374771118164,101.17634582519531,91.4907763292187,93.15097707578667,0.46309184071211884,0.6568025121448291,,,,0.43071576147882645,0.6342817411060021,96.52395991360157,0.4669428356356477,0.6465080743030978,96.08361365897343
9,0.5927830338478088,0.6086755990982056,98.97164916992188,-11.4658203125,0,93.15097707578667,0.5746781724781187,0.6506596360672875,,,,0.5506286769834189,0.622722258218183,97.28826785841848,0.5767571328854674,0.6380588698528685,95.52927461706263
